label	code	symbol
可成	2474	2474.TW
鉅祥	2476	2476.TW
美隆電	2477	2477.TW
大毅	2478	2478.TW
敦陽科	2480	2480.TW
強茂	2481	2481.TW
連宇	2482	2482.TW
百容	2483	2483.TW
希華	2484	2484.TW
兆赫	2485	2485.TW
一詮	2486	2486.TW
漢平	2488	2488.TW
瑞軒	2489	2489.TW
吉祥全	2491	2491.TW
華新科	2492	2492.TW
揚博	2493	2493.TW
普安	2495	2495.TW
卓越	2496	2496.TW
怡利電	2497	2497.TW
宏達電	2498	2498.TW
國建	2501	2501.TW
國產	2504	2504.TW
國揚	2505	2505.TW
太設	2506	2506.TW
全坤建	2509	2509.TW
太子	2511	2511.TW
龍邦	2514	2514.TW
中工	2515	2515.TW
新建	2516	2516.TW
冠德	2520	2520.TW
京城	2524	2524.TW
宏璟	2527	2527.TW
皇普	2528	2528.TW
華建	2530	2530.TW
宏盛	2534	2534.TW
達欣工	2535	2535.TW
宏普	2536	2536.TW
聯上發	2537	2537.TW
基泰	2538	2538.TW
櫻花建	2539	2539.TW
愛山林	2540	2540.TW
興富發	2542	2542.TW
皇昌	2543	2543.TW
皇翔	2545	2545.TW
根基	2546	2546.TW
日勝生	2547	2547.TW
華固	2548	2548.TW
潤弘	2597	2597.TW
益航	2601	2601.TW
長榮	2603	2603.TW
新興	2605	2605.TW
裕民	2606	2606.TW
榮運	2607	2607.TW
嘉里大榮	2608	2608.TW
陽明	2609	2609.TW
華航	2610	2610.TW
志信	2611	2611.TW
中航	2612	2612.TW
中櫃	2613	2613.TW
東森	2614	2614.TW
萬海	2615	2615.TW
山隆	2616	2616.TW
台航	2617	2617.TW
長榮航	2618	2618.TW
亞航	2630	2630.TW
台灣高鐵	2633	2633.TW
漢翔	2634	2634.TW
台驊控股	2636	2636.TW
慧洋-KY	2637	2637.TW
宅配通	2642	2642.TW
長榮航太	2645	2645.TW
星宇航空	2646	2646.TW
萬企	2701	2701.TW
華園	2702	2702.TW
國賓	2704	2704.TW
六福	2705	2705.TW
第一店	2706	2706.TW
晶華	2707	2707.TW
遠雄來	2712	2712.TW
夏都	2722	2722.TW
美食-KY	2723	2723.TW
王品	2727	2727.TW
雄獅	2731	2731.TW
寒舍	2739	2739.TW
雲品	2748	2748.TW
八方雲集	2753	2753.TW
世界健身-KY	2762	2762.TW
彰銀	2801	2801.TW
台中銀	2812	2812.TW
旺旺保	2816	2816.TW
華票	2820	2820.TW
台產	2832	2832.TW
臺企銀	2834	2834.TW
高雄銀	2836	2836.TW
聯邦銀	2838	2838.TW
遠東銀	2845	2845.TW
安泰銀	2849	2849.TW
新產	2850	2850.TW
中再保	2851	2851.TW
第一保	2852	2852.TW
統一證	2855	2855.TW
三商壽	2867	2867.TW
華南金	2880	2880.TW
富邦金	2881	2881.TW
國泰金	2882	2882.TW
凱基金	2883	2883.TW
玉山金	2884	2884.TW
元大金	2885	2885.TW
兆豐金	2886	2886.TW
台新新光金	2887	2887.TW
國票金	2889	2889.TW
永豐金	2890	2890.TW
中信金	2891	2891.TW
第一金	2892	2892.TW
王道銀行	2897	2897.TW
欣欣	2901	2901.TW
遠百	2903	2903.TW
匯僑	2904	2904.TW
三商	2905	2905.TW
高林	2906	2906.TW
特力	2908	2908.TW
統領	2910	2910.TW
麗嬰房	2911	2911.TW
統一超	2912	2912.TW
農林	2913	2913.TW
潤泰全	2915	2915.TW
鼎固-KY	2923	2923.TW
淘帝-KY	2929	2929.TW
永邑-KY	2939	2939.TW
三商家購	2945	2945.TW
歐格	3002	3002.TW
健和興	3003	3003.TW
豐達科	3004	3004.TW
神基	3005	3005.TW
晶豪科	3006	3006.TW
大立光	3008	3008.TW
華立	3010	3010.TW
今皓	3011	3011.TW
晟銘電	3013	3013.TW
聯陽	3014	3014.TW
全漢	3015	3015.TW
嘉晶	3016	3016.TW
奇鋐	3017	3017.TW
隆銘綠能	3018	3018.TW
亞光	3019	3019.TW
鴻名	3021	3021.TW
威強電	3022	3022.TW
信邦	3023	3023.TW
憶聲	3024	3024.TW
星通	3025	3025.TW
禾伸堂	3026	3026.TW
盛達	3027	3027.TW
增你強	3028	3028.TW
零壹	3029	3029.TW
德律	3030	3030.TW
佰鴻	3031	3031.TW
偉訓	3032	3032.TW
威健	3033	3033.TW
聯詠	3034	3034.TW
智原	3035	3035.TW
文曄	3036	3036.TW
欣興	3037	3037.TW
全台	3038	3038.TW
遠見	3040	3040.TW
揚智	3041	3041.TW
晶技	3042	3042.TW
科風	3043	3043.TW
健鼎	3044	3044.TW
台灣大	3045	3045.TW
建碁	3046	3046.TW
訊舟	3047	3047.TW
益登	3048	3048.TW
精金	3049	3049.TW
鈺德	3050	3050.TW
力特	3051	3051.TW
夆典	3052	3052.TW
立萬利	3054	3054.TW
蔚華科	3055	3055.TW
富華新	3056	3056.TW
喬鼎	3057	3057.TW
立德	3058	3058.TW
華晶科	3059	3059.TW
銘異	3060	3060.TW
建漢	3062	3062.TW
日電貿	3090	3090.TW
鴻碩	3092	3092.TW
聯傑	3094	3094.TW
一零四	3130	3130.TW
凌航	3135	3135.TW
耀登	3138	3138.TW
正達	3149	3149.TW
鈺寶-創	3150	3150.TW
景岳	3164	3164.TW
大量	3167	3167.TW
眾福科	3168	3168.TW
景碩	3189	3189.TW
全科	3209	3209.TW
晟鈦	3229	3229.TW
緯創	3231	3231.TW
虹冠電	3257	3257.TW
昇陽	3266	3266.TW
勝德	3296	3296.TW
昇貿	3305	3305.TW
聯德	3308	3308.TW
閎暉	3311	3311.TW
弘憶股	3312	3312.TW
同泰	3321	3321.TW
泰碩	3338	3338.TW
麗清	3346	3346.TW
奇偶	3356	3356.TW
新日興	3376	3376.TW
明泰	3380	3380.TW
玉晶光	3406	3406.TW
京鼎	3413	3413.TW
融程電	3416	3416.TW
譁裕	3419	3419.TW
台端	3432	3432.TW
榮創	3437	3437.TW
創意	3443	3443.TW
展達	3447	3447.TW
聯鈞	3450	3450.TW
晶睿	3454	3454.TW
群創	3481	3481.TW
誠研	3494	3494.TW
維熹	3501	3501.TW
揚明光	3504	3504.TW
華擎	3515	3515.TW
柏騰	3518	3518.TW
安馳	3528	3528.TW
晶相光	3530	3530.TW
台勝科	3532	3532.TW
嘉澤	3533	3533.TW
晶彩科	3535	3535.TW
州巧	3543	3543.TW
敦泰	3545	3545.TW
聯穎	3550	3550.TW
嘉威	3557	3557.TW
牧德	3563	3563.TW
聯合再生	3576	3576.TW
辛耘	3583	3583.TW
通嘉	3588	3588.TW
艾笛森	3591	3591.TW
瑞鼎	3592	3592.TW
力銘	3593	3593.TW
智易	3596	3596.TW
宏致	3605	3605.TW
谷崧	3607	3607.TW
碩天	3617	3617.TW
洋華	3622	3622.TW
達邁	3645	3645.TW
精聯	3652	3652.TW
健策	3653	3653.TW
世芯-KY	3661	3661.TW
貿聯-KY	3665	3665.TW
圓展	3669	3669.TW
TPK-KY	3673	3673.TW
新至陞	3679	3679.TW
達能	3686	3686.TW
海華	3694	3694.TW
大眾控	3701	3701.TW
大聯大	3702	3702.TW
欣陸	3703	3703.TW
合勤控	3704	3704.TW
永信	3705	3705.TW
神達	3706	3706.TW
上緯投控	3708	3708.TW
日月光投控	3711	3711.TW
永崴投控	3712	3712.TW
富采	3714	3714.TW
定穎投控	3715	3715.TW
中化控股	3716	3716.TW
聯嘉投控	3717	3717.TW
佳醫	4104	4104.TW
雃博	4106	4106.TW
懷特	4108	4108.TW
旭富	4119	4119.TW
亞諾法	4133	4133.TW
麗豐-KY	4137	4137.TW
國光生	4142	4142.TW
全宇生技-KY	4148	4148.TW
訊映	4155	4155.TW
承業醫	4164	4164.TW
佐登-KY	4190	4190.TW
炎洲	4306	4306.TW
如興	4414	4414.TW
利勤	4426	4426.TW
廣越	4438	4438.TW
